Sample,Age,2.5% CI,97.5% CI,sigma
01studcreekvolcaniclastics,2542.9622109842394,2521.097866767481,2563.6328338109697,10.850136145405761
02rockmountainconglomerate,2529.218169437986,2494.903691622738,2557.537608893612,16.336964945854334
03bowquartzite,2475.102209064834,2447.297445046674,2499.7538553464137,14.488438668063768
04colbergmetavolcanics,2572.1929080727505,2546.55894321146,2596.9107006810323,12.879738520557401
05conicalpeakquartzite,2469.576272272812,2450.03404862299,2486.9694762374065,9.393873253375371
06magnoliaformation,2520.2154695604277,2495.116397336973,2541.7457601597143,16.88093663338901
07lindseyquartzite,2542.9209550206815,2513.421285372018,2564.6516465636346,13.267285447154064
08campbelllakeformation,2585.6982926015717,2556.226537436477,2610.5914682052676,14.048122761879672
09cascadequartzite,2383.69843548841,2328.444895739054,2448.1319321101387,32.10623891086095
10vagnerformation,2618.627550760763,2586.654335788387,2641.852786827575,14.306007020443655
11rockknollformation,2619.088979983858,2597.445967203509,2637.2722657164227,10.295846868230933
12headquartersformation,2359.5311018292423,2306.678101282139,2413.313950599867,27.358423549224277
13heartformation,2330.055087746531,2291.1117209419313,2364.3670588707832,18.618693177418738
14medicinepeakquartzite,2338.6091476635443,2290.5133950714303,2369.7868714157967,20.834479705476507
15lookoutschist,2249.4117140755743,2223.2737451919397,2269.6004853456184,11.932629767215266
16sugarloafquartzite,2098.9146741475975,2055.152991355378,2139.4315379617133,21.866284683588265
17uppernashforkformation,2051.7411283919696,2024.0175159260034,2073.9528390178793,13.039029471019035
