Sample,Age,2.5% CI,97.5% CI,sigma
01studcreekvolcaniclastics,2588.4275987910496,2569.843395111713,2605.3515086586467,9.062626074562262
02rockmountainconglomerate,2629.5893466965704,2613.1663543325376,2642.7807667119628,7.67859014267218
03bowquartzite,2511.2454951351865,2482.6069838097615,2535.559771853165,13.754446224049355
04colbergmetavolcanics,2614.0239064363886,2591.4304034752804,2632.3096599360088,10.563325524928198
05conicalpeakquartzite,2522.859332001919,2496.15968577898,2546.0319736406655,12.67780959853919
06magnoliaformation,2525.761424927416,2500.8843010115997,2549.4526378260994,12.6992616759309
07lindseyquartzite,2571.3727624418702,2549.482968982279,2592.669005748012,11.153668055583632
08campbelllakeformation,2647.3959101624805,2628.9626686870633,2663.0227813533565,8.769105071929452
09cascadequartzite,2452.2783524488873,2435.5495494972024,2467.2787033544187,8.237325144271697
10vagnerformation,2648.316008997823,2626.2004213817345,2664.4399878549607,9.556695170373196
11rockknollformation,2667.63166468142,2652.7102334753686,2679.283098474918,6.832424875521428
12headquartersformation,2439.2889716923,2412.35327619255,2466.3088344424195,14.23523877321762
13heartformation,2336.7325998120023,2304.7819539180296,2368.4816338464902,16.788619292387494
14medicinepeakquartzite,2367.4818932025187,2346.151197481066,2388.3606075149546,11.043626257644453
15lookoutschist,2293.3197637087924,2273.9050160822894,2307.8456588095382,8.793571023513383
16sugarloafquartzite,2104.2028134454663,2063.689680647806,2143.7199959892014,20.804798335518672
17uppernashforkformation,2090.546046278155,2075.4510740342653,2102.8173214056283,7.033363310775544
